"","unique_id","LIC","LMIC","UMIC"
"1","1.2_a",9.82961740853416,34.1372075787763,98.2211747438366
"2","2.14_a",19.0128710201694,24.87205613815,40.3190759408102
"3","2.14_b",19.0128710201694,24.87205613815,40.3190759408102
"4","2.3_a",4.96689538201174,6.83249409443477,11.7509152868596
"5","2.3_b",4.96689538201174,6.83249409443477,11.7509152868596
"6","2.3_c",172.393187345548,429.765786370461,1108.29693938005
"7","2.3_d",172.393187345548,429.765786370461,1108.29693938005
"8","2.4_a",0.485777184683085,0.694608867939307,1.24516787601406
"9","2.4_b",17.0331176506201,49.4096249729803,134.766298243928
"10","2.4_c",24.6594459475888,24.6594459475888,24.6594459475888
"11","2.4_d",26.8709716665744,77.9472472355454,212.603555966742
"12","2.4_e",24.6594459475888,24.6594459475888,24.6594459475888
"13","2.5_a",0.241723516726909,0.7696234444451,2.16136657477587
"14","2.6_a",34.0662353012402,98.8192499459606,269.532596487857
"15","2.6_b",34.0662353012402,98.8192499459606,269.532596487857
"16","2.6_c",78.746953769573,78.746953769573,78.746953769573
"17","2.6_d",78.746953769573,78.746953769573,78.746953769573
"18","2.6_e",24.9372632799415,33.2607080061826,55.2044447073891
"19","2.6_f",140.381834497638,183.233593991903,296.206979225189
"20","2.6_g",140.381834497638,183.233593991903,296.206979225189
"21","2.7_a",19.2170038572119,19.2170038572119,19.2170038572119
"22","2.7_b",2.98901230208068,4.12409896302331,7.11661511949516
"23","2.7_c",2.98901230208068,4.12409896302331,7.11661511949516
"24","2.7_d",2.98901230208068,4.12409896302331,7.11661511949516
"25","2.7_e",2.98901230208068,4.12409896302331,7.11661511949516
"26","2.7_f",2.98901230208068,4.12409896302331,7.11661511949516
"27","2.7_g",34.0662353012402,98.8192499459606,269.532596487857
"28","2.7_h",34.0662353012402,98.8192499459606,269.532596487857
"29","2.7_i",34.0662353012402,98.8192499459606,269.532596487857
"30","2.7_j",34.0662353012402,98.8192499459606,269.532596487857
"31","2.7_k",79.2972962785493,79.2972962785493,79.2972962785493
"32","2.7_l",79.2972962785493,79.2972962785493,79.2972962785493
"33","2.7_m",71.8531937884289,71.8531937884289,71.8531937884289
"34","2.7_n",71.8531937884289,71.8531937884289,71.8531937884289
"35","3.1_a",370.333798628865,506.853971686576,866.772590781494
"36","3.2_a",1049.5954986622,1569.63706333718,2940.6625875332
"37","3.2_b",1049.5954986622,1569.63706333718,2940.6625875332
"38","3.2_c",1049.5954986622,1569.63706333718,2940.6625875332
"39","3.2_d",1049.5954986622,1569.63706333718,2940.6625875332
"40","3.2_e",1049.5954986622,1569.63706333718,2940.6625875332
"41","3.3_a",142.264068833191,307.102196526186,741.677614683432
"42","3.3_b",7.34406269321795,15.853460420549,38.2874393025983
"43","3.4_a",247.326810159266,534.404739956397,1291.25033831007
"44","3.5_a",247.326810159266,534.404739956397,1291.25033831007
"45","4.1_a",NA,2219.5388020548,3473.92318105764
"46","4.2_a",269.262741825271,285.233611384491,327.338841613502
"47","4.2_b",269.262741825271,285.233611384491,327.338841613502
"48","4.3_a",184.562139970814,386.470719552534,918.77781760865
"49","4.4_a",2699.53108192829,3929.95362631887,7173.81109559636
