"","Code","Latin America and Caribbean","Central and Eastern Europe","Central Asia, Middle East and North Africa","Sub-Saharan Africa","South Asia","East and South East Asia","Oceania"
"1",1.2,0.0116883162288888,0.0191417539793053,0.0185886049005415,0.0930021408140335,0.0434571778050554,0.00360691682955912,7.83942978726268
"2",2.14,0.000034018465207257,0.0000482355543332774,0.000178118423357542,0.000331112822767862,0.000276507020626089,0.0000327235556193064,0.0337898767038263
"3",2.3,0.0000588882350568217,0.0000348972438947581,0.0000551609349687498,0.000232215153613629,0.0000420109314665938,0.00000934315119372158,0.00742015866504112
"4",2.4,0.00329684808754239,0.0107678342062932,0.00816336325972764,0.00853483193776684,0.00416492692148339,0.00110737749965214,0.503986205867291
"5",2.5,0.347408909458049,1.08939379779896,1.10266228423794,1.4578296557435,0.836745155226057,0.0822048264183948,76.7126205647641
"6",2.6,0.00183187171224512,0.00256132587439191,0.00231489543837727,0.00391844391304576,0.00143303466616119,0.000328994966384164,0.235577951560685
"7",2.7,0.0106975300214876,0.039457117842137,0.015777247812287,0.0219280541398639,0.0200679759693182,0.0010887675022606,1.23973343747129
"8",3.1,0.00401610783650782,0.00339404127275283,0.00311606237076612,0.00603231888542755,0.00169571630410325,0.000789768520572555,0.511746077876089
"9",3.2,0.00363567200896972,0.00701897238738639,0.00505375590248475,0.00868311230854515,0.00489783876185597,0.000393920354314427,0.418307874620138
"10",3.3,0.00109457896096182,0.00138393325586269,0.00054288255951959,0.00477797237187906,0.000475945434878667,0.000208833328696959,0.0803450307961877
"11",3.4,0.000285023118257086,0.00060341319999223,0.000609398572159098,0.00138769249223699,0.00143747172237709,0.00015870464228133,0.144364116712134
"12",4.1,0.000592196858384222,0.000562125596697762,0.000421807705134932,0.00134776174054524,0.000215251525116526,0.00012816137996004,0.0632367519489908
"13",4.2,0.000255382674373559,0.000453158454410116,0.000341812374025665,0.000399332069893753,0.000338667175087829,0.0000944453527281784,0.0585826678807952
"14",4.3,0.00564776828455411,0.00604877157311706,0.00804796664917012,0.0297524466923708,0.00675227192826805,0.00111447970942989,0.342576626391316
"15",4.4,0.000946428943421575,0.00110095171510952,0.0013264701001077,0.00292499681784111,0.000910588325919526,0.000154567682561131,0.110566227423619
