"","Code","Latin America and Caribbean","Central and Eastern Europe","Central Asia, Middle East and North Africa","Sub-Saharan Africa","South Asia","East and South East Asia","Oceania"
"1",1.2,0.0238115905420481,0.0167910952041182,0.0273542494322342,0.0132254509753313,0.00949829320287696,0.0163488690233132,0.00641237672106191
"2",2.14,1.09929570066114,1.47227507270819,1.54586647658803,1.99565967450639,1.57143133187999,1.07135915032899,0.834312358823516
"3",2.3,4.84157646249759,3.78579330377795,6.47692590225759,3.97096421280011,7.72836209590591,5.24334549934404,4.14762552649456
"4",2.4,0.130668906004887,0.0512719145045197,0.112791936405823,0.24344160891287,0.140692707035424,0.0915931889117615,0.106913637885143
"5",2.5,0.00129814145941449,0.000532131771464737,0.000861235048759978,0.0014302090928679,0.000691912622310331,0.00131709753863755,0.000702268212584618
"6",2.6,0.241942854323494,0.223099586784308,0.409288771491624,0.523516974322215,0.402621523345966,0.315089180609994,0.227449434944926
"7",2.7,0.0369845420972908,0.0147729924676526,0.0554903976651221,0.0779237075691845,0.0278396435019869,0.0922500196292421,0.0397371112319532
"8",3.1,0.112420569408899,0.171302780861916,0.306104153457863,0.34305164820764,0.341282364552148,0.1368628793907,0.104971018579649
"9",3.2,0.108456470675591,0.0829353661184384,0.175770380286566,0.203841812502313,0.114274184844491,0.250770309992248,0.120576584432987
"10",3.3,0.358948891687875,0.392011238016753,1.62243175846249,0.342313705280641,0.942935256084272,0.537134149717077,0.368019321606792
"11",3.4,0.538120097515768,0.394512458022325,0.62317977597526,0.683728451386475,0.296911822964341,0.321153397479233,0.271746126313919
"12",4.1,0.831031206386612,1.10187413274131,2.33789679341603,3.03735525561618,2.81422266901808,0.900465500966924,0.861923510481963
"13",4.2,0.852265849842378,0.638286737021721,1.28961505328267,2.62534732416131,1.23556831437276,0.594997410534495,0.748541147045804
"14",4.3,0.0766007221043092,0.0981650244593454,0.0958727318217212,0.0406045226239318,0.073889732493428,0.0969822337604677,0.117800161555899
"15",4.4,0.531593814188078,0.601756687170375,0.774958388309435,0.644335453163337,0.606474085656984,0.782451743181626,0.579821073438647
