"","Code","Latin America and Caribbean","Central and Eastern Europe","Central Asia, Middle East and North Africa","Sub-Saharan Africa","South Asia","East and South East Asia","Oceania"
"1",1.2,1603.50003832697,1154.26786660925,1047.46206820383,184.78358041925,150.262017158053,948.411675144043,151.512870678366
"2",2.14,46721.4934977204,65058.5077132869,36880.2639092423,16489.8096773659,14991.6843858431,39365.7323476673,12042.7252614163
"3",2.3,106666.486325685,87065.5490657038,82314.3286622067,18337.7528079956,38890.2362705551,98144.7842845806,29864.6183426404
"4",2.4,5599.38656807221,2264.49220780301,2692.21570184151,2030.95566500124,1329.34068826818,3339.14416058894,1529.98369544578
"5",2.5,55.8989230583141,23.8363356112603,20.7646881918662,11.9479685818635,6.56199402056097,48.4841008373545,10.0618140025922
"6",2.6,10426.4921001848,9838.07278408174,9813.24683315131,4344.70450024707,3803.02472520873,11609.4042254355,3243.39762300067
"7",2.7,1606.46226520517,656.370292892327,1336.74363848142,644.004370112398,262.463308198534,3420.40601159075,566.968976475893
"8",3.1,19008.1349464929,29326.9016464378,27960.6898386871,10313.3643847513,11868.8563146314,19570.1845936311,5567.06832530835
"9",3.2,4720.6094521027,3673.59789772294,4233.89611074138,1692.39759483316,1079.5612729103,9306.59244884,1721.07505012409
"10",3.3,15331.3421306763,17239.9553000022,38385.8513822473,2826.14115473091,8876.04891527561,19488.1814160789,5271.08940653478
"11",3.4,116226.992349139,140626.193116037,81008.1413334663,25204.235099152,18752.0468284118,73746.8051946414,22398.1049780308
"12",3.5,29788.9208243731,22005.1714964926,19963.7129219363,4499.15739093388,3657.61068383984,18047.8261287225,3364.82028062776
"13",4.1,24203.3989526737,33425.6093480625,38290.2870329853,17125.4242039563,18100.9782474401,22499.5275817685,8381.655655761
"14",4.2,3482.28875914594,2547.23519314964,2992.8037523728,2240.60470444705,1077.1905866783,1985.7239391438,1046.98784386937
"15",4.3,3295.82902107448,4339.14532610171,2298.92590936179,337.370386984371,700.297980532822,3550.39252280466,1692.21414396561
"16",4.4,22917.0560141239,26866.7023278697,18638.5821362272,5355.70957355573,5762.53931905147,28888.9711219805,8338.1173245437
