"","Code","Latin America and Caribbean","Central and Eastern Europe","Central Asia, Middle East and North Africa","Sub-Saharan Africa","South Asia","East and South East Asia","Oceania"
"1",1.2,0.0221518414373721,0.186502049707761,0.132707315584673,0.301475556778115,0.0270325555630365,0.0150042737124997,1.60826830836309
"2",2.14,0.00295686845778171,0.0359501983975397,0.0141453240742309,0.00661420778345369,0.00231698113467501,0.003564254372184,0.0736940829465714
"3",2.3,8.21970751793388e-05,0.00106353195914618,0.00049057094458671,0.00090653263900889,0.000103817300937388,8.10145152202609e-05,0.00277667339814092
"4",2.4,0.000800062474911211,0.0063363032685073,0.00427942319641421,0.00369979241780296,0.000732168739018908,0.000590919291725867,0.0351485568564506
"5",2.5,1.28457890267713,9.31704684906548,7.47921039424493,10.616331313245,1.84901514576838,0.887481310534923,76.8611306710369
"6",2.6,0.000623878587011935,0.00193267426875504,0.00154138274904378,0.00306596856343228,0.00034290646400243,0.000309082376460554,0.0250870031705796
"7",2.7,0.00603702365842713,0.0437346408100521,0.0214230716537675,0.0206974221682973,0.0105638464213841,0.00205295578468358,0.231177621621643
"8",3.1,0.00377421844281611,0.00749679861990641,0.00554075847501119,0.0122961843767996,0.00102514296992305,0.0022079777883788,0.139136547178682
"9",3.2,0.000855726082867003,0.00397483541603526,0.00288579620613225,0.00368905829659192,0.00119685667624922,0.000301911510574259,0.0342365172535705
"10",3.3,0.00208047549716878,0.0179286392734179,0.0113800494898874,0.00960640919373968,0.00220320578069622,0.00169100082511214,0.0889993306831847
"11",3.4,0.000823807799015034,0.0115066473552914,0.00444853782882067,0.00316766585684554,0.00131749205118237,0.00133238138338234,0.028148489143309
"12",3.5,0.00191188663094048,0.0159114992506974,0.0110339676896212,0.019660183531762,0.00177148942282329,0.00127855704306567,0.117955321383192
"13",4.1,0.0079438493557283,0.0128349783239817,0.0075833024693024,0.0240754469828055,0.00118410340889136,0.00368758124761071,0.167911413091799
"14",4.2,0.0457382261607683,0.426671717199229,0.194825904342144,0.0869540658770346,0.0171353153079085,0.0356036089470384,0.953954458201767
"15",4.3,0.106862263618744,0.546282117601885,0.655997928367928,0.963581115433112,0.189083246566047,0.0859748670909553,3.46602908566809
"16",4.4,0.0164391557503257,0.0590013279500426,0.110323670808922,0.170527534070481,0.03118049843837,0.00693046612315818,1.60886180508165
