"","Code","Latin America and Caribbean","Central and Eastern Europe","Central Asia, Middle East and North Africa","Sub-Saharan Africa","South Asia","East and South East Asia","Oceania"
"1",1.2,0.00320113389294388,0.027273706111059,0.0193739732906738,0.0419174740471609,0.00380770621660931,0.00207779792181784,0.499097921702172
"2",2.14,0.000433375277269324,0.00526150305712642,0.00208096443740647,0.000921083366781716,0.000327247761158263,0.000498163463968457,0.022705738582589
"3",2.3,1.18992754146667e-05,0.000155381431656329,7.15511622351601e-05,0.000125731991030277,1.46529002099932e-05,1.12946005091082e-05,0.000848850297736429
"4",2.4,0.000116251324755384,0.000934789246585281,0.000629172731991472,0.000511845811753183,0.000103203639237571,8.3102798988091e-05,0.0107888743102193
"5",2.5,0.185919261141156,1.35410261751763,1.08933840137769,1.46761559848547,0.259603503181327,0.123451501794402,23.4712013871264
"6",2.6,9.03112022234417e-05,0.000286702731332543,0.000226144029143697,0.000427139953203064,4.84354661318726e-05,4.30818232579339e-05,0.00767935791204894
"7",2.7,0.000871618501217059,0.00644510157679552,0.00313237795577323,0.00290100545071459,0.00149727678676866,0.000285313457226598,0.0711527925629109
"8",3.1,0.000545048492556921,0.00110159714734591,0.000807975549162495,0.00170996944813811,0.000144073875572376,0.000305923363668264,0.0426146424554437
"9",3.2,0.000124714490991596,0.000592376913237418,0.000425467407147619,0.000517924014423193,0.000170040777206688,4.24089962629523e-05,0.0106120300473739
"10",3.3,0.000303124180939243,0.00261844693972765,0.001671755843467,0.00133035298252305,0.000310965074985294,0.00023740878815083,0.0272986822702472
"11",3.4,0.000121123147748561,0.0016847385551323,0.000655807416792873,0.000441665993291626,0.000186297308266912,0.000187307524035483,0.00869096446191273
"12",3.5,0.000276159545563508,0.00232636493984395,0.00161023868702245,0.00272998635740138,0.00024935578856683,0.000176941399680734,0.036378374541225
"13",4.1,0.00116018457039013,0.00185253094151939,0.00109647636139581,0.00333560919724849,0.000163760023233233,0.000509357657161573,0.0510611073327599
"14",4.2,0.00665287693919505,0.062423364432117,0.0285403876828121,0.012084676133176,0.00241546885318015,0.00494291362493237,0.293287319800954
"15",4.3,0.0154601873733143,0.0794884415004493,0.0956664479164652,0.133208511566007,0.0264934560581611,0.0119754199223923,1.056073884888
"16",4.4,0.00237082735954296,0.00854753642481768,0.0159999997314571,0.0235862060558638,0.00436477663896147,0.000958565695269054,0.489507670920905
