"","Code","Latin America and Caribbean","Central and Eastern Europe","Central Asia, Middle East and North Africa","Sub-Saharan Africa","South Asia","East and South East Asia","Oceania"
"1",1.2,193.389453425325,144.549050694652,123.587038223862,20.7652116188663,17.0282228396197,114.382438172894,17.2309549440908
"2",2.14,8928.09719402227,12674.3349099215,6984.25521798232,3133.37484957294,2817.20961070225,7495.60545128369,2241.91423703588
"3",2.3,39321.5994599742,32590.65722247,29262.878918994,6234.79020591005,13855.1494614312,36684.2893867834,11145.2510794084
"4",2.4,1061.24738989388,441.383154513233,509.596192374537,382.226400849548,252.229186458772,640.818166248578,287.291928943729
"5",2.5,10.5430532606214,4.58094850125239,3.89107692954657,2.24556383960168,1.24043784147211,9.21487765092816,1.88709311010486
"6",2.6,1964.97568170257,1920.59142587266,1849.17473872729,821.971271765805,721.806420703633,2204.47473575555,611.188508735324
"7",2.7,300.375582586588,127.175863823028,250.706710644212,122.347606960165,49.9099831097881,645.413584979082,106.779187036397
"8",3.1,913.040749350996,1474.68965269585,1382.98460016601,538.623604179522,611.839625361963,957.540843819083,282.071838611772
"9",3.2,880.845718699655,713.963460733251,794.134043447751,320.050966978671,204.866942174253,1754.47729365152,324.006181179745
"10",3.3,2915.25800632944,3374.69662509325,7330.17867097564,537.464963837475,1690.46283589913,3757.97944083795,988.919495065374
"11",3.4,4370.42419959258,3396.22881063498,2815.53851384551,1073.51847656176,532.293600246318,2246.90212997613,730.219926625103
"12",4.1,6749.34631093617,9485.67427773776,10562.6638042889,4768.93565007267,5045.24441442114,6299.97337089805,2316.10927124503
"13",4.2,6921.80669674453,5494.8019045743,5826.50623549188,4122.04414510473,2215.08560973249,4162.81116610852,2011.43497015384
"14",4.3,622.124412629152,845.070611804735,433.154892501444,63.7529492598543,132.467044718822,678.521819531206,316.545543793342
"15",4.4,4317.41999714705,5180.3266447029,3501.27727668666,1011.6677354467,1087.2664863508,5474.30761174499,1558.06048625309
