"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",1920207.7589619,1976563.29200876,2033614.04358735,2097793.28747808,2161099.61711246,2224042.15580793,2287212.70632873,2351060.45407569
"2","2.14_a",31968169.1247193,32859674.53961,33762273.5576271,34778071.4901308,35780417.5825314,36777259.4898267,37777880.0987409,38789338.8268277
"3","2.14_b",106052816.606881,107317717.067547,108577033.542614,109848265.882676,111097004.595207,112326161.180959,113542798.03489,114750389.335205
"4","2.3_a",211056747.171324,215965837.903405,220961326.248776,225881855.716757,230796336.552851,235734725.337467,240727631.248615,245793226.859329
"5","2.3_b",8101819.49080889,8216112.52731483,8330944.35449433,8444120.30551148,8556231.37951984,8667880.25078141,8779612.58482096,8891698.83286508
"6","2.3_c",168845397.737059,172772670.322724,176769060.999021,180705484.573406,184637069.242281,188587780.269973,192582104.998892,196634581.487464
"7","2.3_d",8101819.49080889,8216112.52731483,8330944.35449433,8444120.30551148,8556231.37951984,8667880.25078141,8779612.58482096,8891698.83286508
"8","2.3_e",0,0,0,0,0,0,0,0
"9","2.3_f",0,0,0,0,0,0,0,0
"10","2.4_a",1986474889.20607,2017829591.19797,2049110795.49433,2079306955.35578,2108905993.58723,2138112400.19831,2167093418.71801,2195935776.1314
"11","2.4_b",99323744.4603033,100891479.559899,102455539.774716,103965347.767789,105445299.679361,106905620.009915,108354670.9359,109796788.80657
"12","2.4_c",99323744.4603033,100891479.559899,102455539.774716,103965347.767789,105445299.679361,106905620.009915,108354670.9359,109796788.80657
"13","2.4_d",27810648.4488849,28249614.2767716,28687551.1369206,29110297.3749809,29524683.9102212,29933573.6027763,30339307.8620521,30743100.8658395
"14","2.4_e",27810648.4488849,28249614.2767716,28687551.1369206,29110297.3749809,29524683.9102212,29933573.6027763,30339307.8620521,30743100.8658395
"15","2.5_a",7045699.28114378,7194409.23615946,7351589.13259644,7510848.48576314,7676910.74294994,7846121.24564105,8012426.54935451,8171844.44157044
"16","2.6_a",102917191.906527,106038861.317497,109224091.789689,112786670.198716,116315713.307297,119843322.526332,123400046.635226,127007130.125199
"17","2.6_b",18887266.4192701,19478665.9480489,20093204.7828192,20721807.0924905,21353693.6722968,21992719.4671204,22642244.4700496,23305120.8437119
"18","2.6_c",102917191.906527,106038861.317497,109224091.789689,112786670.198716,116315713.307297,119843322.526332,123400046.635226,127007130.125199
"19","2.6_d",18887266.4192701,19478665.9480489,20093204.7828192,20721807.0924905,21353693.6722968,21992719.4671204,22642244.4700496,23305120.8437119
"20","2.6_e",2666908.43140143,2743479.284682,2819035.13462018,2912174.70447468,3002748.20669091,3092325.63243604,3182565.19677863,3274335.44475558
"21","2.6_f",4168343.35524751,4298069.70711206,4430332.5152464,4572338.59289498,4713164.50922658,4853962.45108114,4995603.04467564,5138575.04555219
"22","2.6_g",1847155.88656407,1899065.33351292,1951638.67314658,2010257.61695026,2068403.41671149,2126313.83278377,2184224.4174472,2242365.28456553
"23","2.7_a",9328793.4767119,9636133.47600809,9940859.53970047,10327769.0915895,10703727.9538707,11074164.859708,11444954.2170184,11819794.1855879
"24","2.7_b",9328793.4767119,9636133.47600809,9940859.53970047,10327769.0915895,10703727.9538707,11074164.859708,11444954.2170184,11819794.1855879
"25","2.7_c",188284.566568598,192577.686920874,196694.775074342,202246.064861888,207572.903440638,212733.453861064,217801.198215941,222807.554401446
"26","2.7_d",10278629.4274604,10643510.6660955,11011310.150646,11448858.9020577,11878189.4703516,12305305.3111144,12737803.8537662,13181100.18114
"27","2.7_e",184017.337725785,186480.458872328,188968.924064977,191426.317946371,193835.424934768,196228.52050712,198614.06428762,200990.647451104
