"","unique_id","2023","2024","2025","2026","2027","2028","2029","2030"
"1","1.2_a",1597350.78109686,1644100.26044096,1691436.54619716,1744701.49936429,1797228.38845569,1849449.62388309,1901864.62569892,1954850.20510286
"2","2.14_a",26556903.9918238,27296523.3706273,28045458.4131744,28888558.9833164,29720262.6640816,30547307.7895052,31377512.4523306,32216800.3119616
"3","2.14_b",86813819.1341138,87815587.7435548,88812115.9476288,89817344.4179794,90803121.7619236,91771837.5124138,92729262.1052739,93677979.4568561
"4","2.3_a",175229002.030402,179270010.327175,183380951.963466,187427669.122007,191466863.288475,195523541.915415,199622991.766262,203780082.07776
"5","2.3_b",6652791.71157934,6744301.54544385,6836231.13617939,6926824.34891413,7016466.53070006,7105664.35981982,7194867.07793814,7284315.42986595
"6","2.3_c",140183201.624322,143416008.26174,146704761.570773,149942135.297605,153173490.63078,156418833.532332,159698393.41301,163024065.662208
"7","2.3_d",6652791.71157934,6744301.54544385,6836231.13617939,6926824.34891413,7016466.53070006,7105664.35981982,7194867.07793814,7284315.42986595
"8","2.3_e",0,0,0,0,0,0,0,0
"9","2.3_f",0,0,0,0,0,0,0,0
"10","2.4_a",1647964925.92059,1673047353.52834,1698066889.76936,1722183581.30594,1745785578.6749,1769048090.21098,1792111950.61768,1815050368.3866
"11","2.4_b",82398246.2960298,83652367.676417,84903344.4884681,86109179.0652968,87289278.9337448,88452404.510549,89605597.5308839,90752518.41933
"12","2.4_c",82398246.2960298,83652367.676417,84903344.4884681,86109179.0652968,87289278.9337448,88452404.510549,89605597.5308839,90752518.41933
"13","2.4_d",23071508.9628883,23422662.9493968,23772936.4567711,24110570.1382831,24440998.1014486,24766673.2629537,25089567.3086475,25410705.1574124
"14","2.4_e",23071508.9628883,23422662.9493968,23772936.4567711,24110570.1382831,24440998.1014486,24766673.2629537,25089567.3086475,25410705.1574124
"15","2.5_a",5861039.73885878,5982949.45547491,6112011.01269345,6242959.58855411,6379657.80893605,6518956.15323738,6655633.87738284,6786257.80944405
"16","2.6_a",85575367.5075322,88113247.867517,90706888.3205145,93613755.3658908,96493549.1027654,99373610.9980571,102279769.628976,105229759.495051
"17","2.6_b",15856731.7067919,16346222.5950811,16855472.226411,17376605.651443,17900498.1331627,18430431.8505634,18969262.7094252,19519391.0937662
"18","2.6_c",85575367.5075322,88113247.867517,90706888.3205145,93613755.3658908,96493549.1027654,99373610.9980571,102279769.628976,105229759.495051
"19","2.6_d",15856731.7067919,16346222.5950811,16855472.226411,17376605.651443,17900498.1331627,18430431.8505634,18969262.7094252,19519391.0937662
"20","2.6_e",2204340.87059317,2265771.23897175,2326424.47007111,2401808.17780453,2475065.23360069,2547542.88588936,2620656.29164161,2695140.06643059
"21","2.6_f",3510942.37802368,3618316.09525207,3727954.70360581,3845691.16567188,3962478.18225505,4079312.2835967,4196943.42337799,4315788.28391607
"22","2.6_g",1525653.96384161,1567754.01091635,1610438.07117896,1658134.5379095,1705429.221956,1752531.15774446,1799644.44327843,1846965.9830132
"23","2.7_a",7862179.25932637,8118087.37385757,8372022.27492957,8695018.14801839,9008842.25968818,9318179.06086328,9628081.78106291,9941714.04046713
"24","2.7_b",7862179.25932637,8118087.37385757,8372022.27492957,8695018.14801839,9008842.25968818,9318179.06086328,9628081.78106291,9941714.04046713
"25","2.7_c",159440.527068657,163027.094145667,166472.979175124,171110.376291574,175560.646376407,179876.099475935,184122.043029666,188327.432909884
"26","2.7_d",8662784.61806505,8967393.6192362,9274614.44117314,9640297.31362482,9999027.55802064,10355987.1151431,10717717.9278723,11088857.5727724
"27","2.7_e",156029.651689195,158064.045737496,160121.180963488,162150.366049792,164138.463769817,166113.223494399,168082.212374105,170044.344045474
"28","2.7_f",869600.307380894,894143.847138823,918290.040662665,950257.800734843,981369.801102168,1011877.44056804,1042000.24657231,1071863.24134721
"29","2.7_g",159440.527068657,163027.094145667,166472.979175124,171110.376291574,175560.646376407,179876.099475935,184122.043029666,188327.432909884
"30","2.7_h",8662784.61806505,8967393.6192362,9274614.44117314,9640297.31362482,9999027.55802064,10355987.1151431,10717717.9278723,11088857.5727724
"31","2.7_i",156029.651689195,158064.045737496,160121.180963488,162150.366049792,164138.463769817,166113.223494399,168082.212374105,170044.344045474
"32","2.7_j",869600.307380894,894143.847138823,918290.040662665,950257.800734843,981369.801102168,1011877.44056804,1042000.24657231,1071863.24134721
"33","2.7_k",159440.527068657,163027.094145667,166472.979175124,171110.376291574,175560.646376407,179876.099475935,184122.043029666,188327.432909884
"34","2.7_l",8662784.61806505,8967393.6192362,9274614.44117314,9640297.31362482,9999027.55802064,10355987.1151431,10717717.9278723,11088857.5727724
"35","2.7_m",156029.651689195,158064.045737496,160121.180963488,162150.366049792,164138.463769817,166113.223494399,168082.212374105,170044.344045474
"36","2.7_n",869600.307380894,894143.847138823,918290.040662665,950257.800734843,981369.801102168,1011877.44056804,1042000.24657231,1071863.24134721
"37","3.1_a",8035332.70139415,8259377.77855525,8480185.27756065,8756919.19133255,9025286.63947498,9290501.33490529,9558125.79300352,9831008.83721746
"38","3.2_a",3745563.51795243,3868029.72945121,3989617.38852114,4143843.93261935,4293659.32891088,4441398.22799052,4589614.16541525,4739895.21085166
"39","3.2_b",76793.3609816563,78515.7485439846,80181.6176307832,82376.5043053272,84486.4300188123,86540.4500456225,88574.0382189255,90604.3073137981
"40","3.2_c",4108337.53838783,4252685.55973225,4398182.39928203,4571249.4885205,4740812.06164704,4909487.53083204,5080601.78207121,5256475.61934603
"41","3.2_d",72812.8044905689,73753.7471789729,74704.0543064382,75634.4520038325,76542.7248068979,77442.0185581307,78336.3612801054,79225.417105119
"42","3.2_e",360391.12568533,370237.099597952,379936.879386432,392618.001271177,404937.860295205,417017.093661683,428958.619499636,440814.430863891
"43","3.3_a",32634.3203824665,33177.966370641,33717.0708021602,34193.0426847386,34660.7236872116,35122.9337734943,35577.3913957594,36018.7098841363
"44","3.3_b",119102415.321541,120265572.177753,121434560.761783,122492831.07082,123543067.784926,124599676.668439,125658853.292041,126702733.958411
"45","3.4_a",5967261.19032053,6141838.1034387,6318605.65274646,6517602.74687363,6713591.59346303,6908299.20732165,7103719.03258252,7301324.69383094
"46","3.4_b",9763025.42852513,9862997.32113347,9961845.24110144,10060915.4410823,10157107.9456644,10250719.961819,10342454.3525467,10432610.1463762
"47","4.1_a",1326284.17832888,1368825.57500352,1413794.70970396,1454524.51987646,1496061.18723106,1539487.6236323,1584495.39414109,1629915.43382867
"48","4.2_a",690737.686487278,710173.795316696,729864.252351743,752057.55679838,773932.027541645,795677.958430041,817515.517588068,839606.007917456
"49","4.2_b",301949.240057478,305041.15426186,308098.306425818,311162.333229348,314137.359144261,317032.576138731,319869.722243713,322658.045764214
"50","4.3_a",89713.2969670384,91444.2485222762,93187.4187291283,94710.1408404299,96225.7713406878,97736.9043002308,99219.7158479663,100642.426116179
"51","4.4_a",108494.515329151,111621.237679676,114836.230893654,117636.032016592,120432.479626224,123278.442254649,126125.066794356,128883.837471581
