Super_region,Region,Country,NCD_region,SDI,World_bank,iso3,LocID,gbd2019
South Asia,South Asia,Afghanistan,South Asia,Low SDI,LIC,AFG,4,Afghanistan
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Albania,Central and Eastern Europe,Middle SDI,UMIC,ALB,8,Albania
North Africa and Middle East,North Africa and Middle East,Algeria,"Central Asia, Middle East and North Africa",Middle SDI,UMIC,DZA,12,Algeria
"Southeast Asia, East Asia, and Oceania",Oceania,American Samoa,NA,Middle SDI,UMIC,ASM,16,American Samoa
High-income,Western Europe,Andorra,NA,High SDI,HIC,AND,20,Andorra
Sub-Saharan Africa,Central Sub-Saharan Africa,Angola,Sub-Saharan Africa,Low SDI,UMIC,AGO,24,Angola
Latin America and Caribbean,Caribbean,Antigua and Barbuda,NA,High-middle SDI,HIC,ATG,28,Antigua and Barbuda
High-income,Southern Latin America,Argentina,Latin America and Caribbean,High-middle SDI,UMIC,ARG,32,Argentina
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Armenia,"Central Asia, Middle East and North Africa",High-middle SDI,LMIC,ARM,51,Armenia
High-income,Australasia,Australia,High-income Western countries,High SDI,HIC,AUS,36,Australia
High-income,Western Europe,Austria,High-income Western countries,High SDI,HIC,AUT,40,Austria
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Azerbaijan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,AZE,31,Azerbaijan
North Africa and Middle East,North Africa and Middle East,Bahrain,"Central Asia, Middle East and North Africa",Middle SDI,HIC,BHR,48,Bahrain
South Asia,South Asia,Bangladesh,South Asia,Low-middle SDI,LMIC,BGD,50,Bangladesh
Latin America and Caribbean,Caribbean,Barbados,Latin America and Caribbean,High-middle SDI,HIC,BRB,52,Barbados
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Belarus,Central and Eastern Europe,High-middle SDI,UMIC,BLR,112,Belarus
High-income,Western Europe,Belgium,High-income Western countries,High SDI,HIC,BEL,56,Belgium
Latin America and Caribbean,Caribbean,Belize,Latin America and Caribbean,Low-middle SDI,UMIC,BLZ,84,Belize
Sub-Saharan Africa,Western Sub-Saharan Africa,Benin,Sub-Saharan Africa,Low SDI,LIC,BEN,204,Benin
Latin America and Caribbean,Caribbean,Bermuda,NA,High-middle SDI,HIC,BMU,60,Bermuda
South Asia,South Asia,Bhutan,South Asia,Low-middle SDI,LMIC,BTN,64,Bhutan
Latin America and Caribbean,Andean Latin America,Bolivia,Latin America and Caribbean,Low-middle SDI,LMIC,BOL,68,Bolivia (Plurinational State of)
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bosnia and Herzegovina,Central and Eastern Europe,Middle SDI,UMIC,BIH,70,Bosnia and Herzegovina
Sub-Saharan Africa,Southern Sub-Saharan Africa,Botswana,Sub-Saharan Africa,Middle SDI,UMIC,BWA,72,Botswana
Latin America and Caribbean,Tropical Latin America,Brazil,Latin America and Caribbean,Middle SDI,UMIC,BRA,76,Brazil
High-income,High-income Asia Pacific,Brunei,East and South East Asia,High SDI,HIC,BRN,96,Brunei Darussalam
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bulgaria,Central and Eastern Europe,High-middle SDI,UMIC,BGR,100,Bulgaria
Sub-Saharan Africa,Western Sub-Saharan Africa,Burkina Faso,Sub-Saharan Africa,Low SDI,LIC,BFA,854,Burkina Faso
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Burundi,Sub-Saharan Africa,Low SDI,LIC,BDI,108,Burundi
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Cambodia,East and South East Asia,Low-middle SDI,LMIC,KHM,132,Cambodia
Sub-Saharan Africa,Western Sub-Saharan Africa,Cameroon,Sub-Saharan Africa,Low-middle SDI,LMIC,CMR,116,Cameroon
High-income,High-income North America,Canada,High-income Western countries,High SDI,HIC,CAN,120,Canada
Sub-Saharan Africa,Western Sub-Saharan Africa,Cape Verde,Sub-Saharan Africa,Low-middle SDI,LMIC,CPV,124,Cabo Verde
Sub-Saharan Africa,Central Sub-Saharan Africa,Central African Republic,Sub-Saharan Africa,Low SDI,LIC,CAF,140,Central African Republic
Sub-Saharan Africa,Western Sub-Saharan Africa,Chad,Sub-Saharan Africa,Low SDI,LIC,TCD,148,Chad
High-income,Southern Latin America,Chile,Latin America and Caribbean,High-middle SDI,HIC,CHL,152,Chile
"Southeast Asia, East Asia, and Oceania",East Asia,China,East and South East Asia,Middle SDI,UMIC,CHN,156,China
Latin America and Caribbean,Central Latin America,Colombia,Latin America and Caribbean,Middle SDI,UMIC,COL,170,Colombia
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Comoros,Sub-Saharan Africa,Low SDI,LIC,COM,174,Comoros
Sub-Saharan Africa,Central Sub-Saharan Africa,Congo,Sub-Saharan Africa,Low-middle SDI,LMIC,COG,178,Congo
Latin America and Caribbean,Central Latin America,Costa Rica,Latin America and Caribbean,Middle SDI,UMIC,CRI,188,Costa Rica
Sub-Saharan Africa,Western Sub-Saharan Africa,Cote d'Ivoire,Sub-Saharan Africa,Low SDI,LMIC,CIV,384,Côte d'Ivoire
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Croatia,Central and Eastern Europe,High SDI,HIC,HRV,191,Croatia
Latin America and Caribbean,Caribbean,Cuba,Latin America and Caribbean,High-middle SDI,UMIC,CUB,192,Cuba
High-income,Western Europe,Cyprus,High-income Western countries,High SDI,HIC,CYP,196,Cyprus
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Czech Republic,Central and Eastern Europe,High SDI,HIC,CZE,203,Czechia
Sub-Saharan Africa,Central Sub-Saharan Africa,Democratic Republic of the Congo,Sub-Saharan Africa,Low SDI,LIC,COD,180,Democratic Republic of the Congo
High-income,Western Europe,Denmark,High-income Western countries,High SDI,HIC,DNK,208,Denmark
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Djibouti,Sub-Saharan Africa,Low SDI,LMIC,DJI,262,Djibouti
Latin America and Caribbean,Caribbean,Dominica,NA,Middle SDI,UMIC,DMA,212,Dominica
Latin America and Caribbean,Caribbean,Dominican Republic,Latin America and Caribbean,Middle SDI,UMIC,DOM,214,Dominican Republic
Latin America and Caribbean,Andean Latin America,Ecuador,Latin America and Caribbean,Middle SDI,UMIC,ECU,218,Ecuador
North Africa and Middle East,North Africa and Middle East,Egypt,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,EGY,818,Egypt
