WB_region15,GBD_region,Country,iso3,LocID,X1.1,X1.2,X3.3,X3.1,X3.5,X3.4,X3.2,X3.6,X3.7,X3.8,X3.9,X2.8,X2.4,X2.14,X2.5,X2.2,X2.3,X2.1,X2.6,X2.7,X2.11,X2.10,X2.13,X2.12,X2.9,X4.2,X4.1,X4.3,X4.4
HIC,High‐income Asia Pacific,Singapore,SGP,702,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Central Europe,Slovakia,SVK,703,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Central Europe,Slovenia,SVN,705,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Oceania,Solomon Islands,SLB,90,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Eastern Sub‐Saharan Africa,Somalia,SOM,706,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
UMIC,Southern Sub‐Saharan Africa,South Africa,ZAF,710,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,High‐income Asia Pacific,South Korea,KOR,410,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LIC,Eastern Sub‐Saharan Africa,South Sudan,SSD,728,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,Western Europe,Spain,ESP,724,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Southeast Asia,Sri Lanka,LKA,144,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,North Africa and Middle East,Sudan,SDN,729,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Caribbean,Suriname,SUR,740,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Southern Sub‐Saharan Africa,Swaziland,SWZ,748,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Western Europe,Sweden,SWE,752,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Western Europe,Switzerland,CHE,756,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,North Africa and Middle East,Syria,SYR,760,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,East Asia,Taiwan,TWN,158,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Central Asia,Tajikistan,TJK,762,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Eastern Sub‐Saharan Africa,Tanzania,TZA,834,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
UMIC,Southeast Asia,Thailand,THA,764,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
