WB_region15,GBD_region,Country,iso3,LocID,X1.1,X1.2,X3.3,X3.1,X3.5,X3.4,X3.2,X3.6,X3.7,X3.8,X3.9,X2.8,X2.4,X2.14,X2.5,X2.2,X2.3,X2.1,X2.6,X2.7,X2.11,X2.10,X2.13,X2.12,X2.9,X4.2,X4.1,X4.3,X4.4
HIC,High‐income Asia Pacific,Japan,JPN,392,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,North Africa and Middle East,Jordan,JOR,400,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Central Asia,Kazakhstan,KAZ,398,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Eastern Sub‐Saharan Africa,Kenya,KEN,404,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,Oceania,Kiribati,KIR,296,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,North Africa and Middle East,Kuwait,KWT,414,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Central Asia,Kyrgyzstan,KGZ,417,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,Southeast Asia,Laos,LAO,418,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Eastern Europe,Latvia,LVA,428,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,North Africa and Middle East,Lebanon,LBN,422,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Southern Sub‐Saharan Africa,Lesotho,LSO,426,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Western Sub‐Saharan Africa,Liberia,LBR,430,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
UMIC,North Africa and Middle East,Libya,LBY,434,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,Eastern Europe,Lithuania,LTU,440,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Western Europe,Luxembourg,LUX,442,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Central Europe,Macedonia,MKD,807,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Eastern Sub‐Saharan Africa,Madagascar,MDG,450,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LIC,Eastern Sub‐Saharan Africa,Malawi,MWI,454,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
UMIC,Southeast Asia,Malaysia,MYS,458,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Southeast Asia,Maldives,MDV,462,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LIC,Western Sub‐Saharan Africa,Mali,MLI,466,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,Western Europe,Malta,MLT,470,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Oceania,Marshall Islands,MHL,584,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Western Sub‐Saharan Africa,Mauritania,MRT,478,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Southeast Asia,Mauritius,MUS,480,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Central Latin America,Mexico,MEX,484,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,Eastern Europe,Moldova,MDA,498,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Central Asia,Mongolia,MNG,496,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Central Europe,Montenegro,MNE,499,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,North Africa and Middle East,Morocco,MAR,504,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Eastern Sub‐Saharan Africa,Mozambique,MOZ,508,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LMIC,Southeast Asia,Myanmar,MMR,104,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Southern Sub‐Saharan Africa,Namibia,NAM,516,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LIC,South Asia,Nepal,NPL,524,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,Western Europe,Netherlands,NLD,528,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Australasia,New Zealand,NZL,554,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Central Latin America,Nicaragua,NIC,558,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Western Sub‐Saharan Africa,Niger,NER,562,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LMIC,Western Sub‐Saharan Africa,Nigeria,NGA,566,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,East Asia,North Korea,PRK,408,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,Oceania,Northern Mariana Islands,MNP,580,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Western Europe,Norway,NOR,578,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,North Africa and Middle East,Oman,OMN,512,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,South Asia,Pakistan,PAK,586,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,North Africa and Middle East,Palestine,PSE,NA,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Central Latin America,Panama,PAN,591,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Oceania,Papua New Guinea,PNG,598,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Tropical Latin America,Paraguay,PRY,600,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Andean Latin America,Peru,PER,604,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Southeast Asia,Philippines,PHL,608,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Central Europe,Poland,POL,616,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Western Europe,Portugal,PRT,620,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Caribbean,Puerto Rico,PRI,630,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,North Africa and Middle East,Qatar,QAT,634,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Central Europe,Romania,ROU,642,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
