CHD
8.39
7.57
6.96
6.14
5.82
5.81
5.65
4.97
4.94
4.76
4.63
4.56
4.45
4.41
4.38
4.27
3.96
3.95
3.81
3.53
3.52
3.51
3.32
3.25
3.2
3.15
3.12
3.12
3.1
3.09
3.06
2.89
2.77
2.66
2.64
2.64
2.6
2.58
2.57
2.55
2.52
2.51
2.51
2.5
2.47
2.46
2.45
2.43
2.43
2.42
2.42
2.41
2.41
2.4
2.39
2.38
2.33
2.32
2.31
2.3
2.29
2.29
2.29
2.27
2.27
2.26
2.26
2.24
2.24
2.24
2.23
2.23
2.16
2.1
2.08
2.08
2.07
2.06
2.05
2.04
2.04
2.03
2
1.96
1.95
1.95
1.92
1.92
1.9
1.9
1.88
1.87
1.86
1.86
1.86
1.86
1.85
1.84
1.83
1.83
1.83
1.82
1.82
1.81
1.8
1.8
1.8
1.79
1.79
1.79
1.79
1.78
1.77
1.77
1.77
1.77
1.76
1.75
1.75
1.74
1.74
1.73
1.72
1.72
1.71
1.71
1.7
1.69
1.69
1.69
1.69
1.68
1.67
1.62
1.54
1.5
1.48
1.48
1.45
1.45
1.44
1.44
1.4
1.39
1.38
1.38
1.38
1.38
1.37
1.37
1.37
1.37
1.37
1.37
1.36
1.36
1.36
1.36
1.36
1.36
1.36
1.36
1.35
1.35
1.35
1.35
1.35
1.35
1.35
1.35
1.35
1.35
1.34
1.34
1.34
1.34
1.33
1.32
1.32
1.32
1.31
1.31
1.25
1.23
1.17
1.14
1.13
1.02
1
0.98
0.96
0.94
0.93
0.88
