"","Region","Baseline","Adjusted","Increment"
"1","Central and Eastern Europe",55.0533198577807,67.0361143451997,11.982794487419
"2","Central Asia, Middle East and North Africa",25.2816175934571,32.3909733602072,7.10935576675011
"3","East and South East Asia",315.153997812455,396.189182702709,81.0351848902541
"4","Latin America and Caribbean",176.873024911525,217.819097264686,40.9460723531612
"5","Oceania",1.16342099618407,1.72437231254188,0.560951316357802
"6","South Asia",59.2526473079787,81.6568578082295,22.4042105002508
"7","Sub-Saharan Africa",19.3629487852797,29.4395052874274,10.0765565021477
