"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"122","Lebanon","UMIC","Central Asia, Middle East and North Africa","LBN","Central Asia, Middle East and North Africa","UMIC","Baseline",196433266.837344,198514330.218204,201091953.499992,203661134.945475,206961823.501867,210908181.289577,215278127.439138,219929938.12521,1652778755.85681
"123","Lesotho","LMIC","Sub-Saharan Africa","LSO","Sub-Saharan Africa","LMIC","Adjusted",429.501314078705,505.093107463496,585.418324633968,668.234315710832,755.253625174181,846.448629667365,941.88463272394,1041.62657586928,5773.46052532176
"124","Lesotho","LMIC","Sub-Saharan Africa","LSO","Sub-Saharan Africa","LMIC","Baseline",371.460595959961,383.474922925022,395.95730547604,407.340824344754,418.92231333252,430.668785601354,442.611487734978,454.772339870158,3305.20857524479
"125","Liberia","LIC","Sub-Saharan Africa","LBR","Sub-Saharan Africa","LIC","Adjusted",12108165.3279063,15232314.3103507,18564243.2332093,22151680.2321754,25983536.2462997,30067626.8420608,34406376.2020589,39000977.3568384,197514919.7509
"126","Liberia","LIC","Sub-Saharan Africa","LBR","Sub-Saharan Africa","LIC","Baseline",9504157.46198921,9813986.84816736,10137241.4082988,10482384.7134281,10840810.5661253,11212430.6467828,11596420.6400806,11992688.0558146,85580120.3406866
"127","Libya","UMIC","Central Asia, Middle East and North Africa","LBY","Central Asia, Middle East and North Africa","UMIC","Adjusted",132259438.452006,146905102.824046,162485725.092824,179248152.455162,197017076.949721,215829373.126685,235676118.532834,256507335.1116,1525928322.54488
"128","Libya","UMIC","Central Asia, Middle East and North Africa","LBY","Central Asia, Middle East and North Africa","UMIC","Baseline",121996571.413176,125525787.487475,129214204.013038,133185700.785685,137261840.27134,141445330.857122,145725901.744853,150100142.473363,1084455479.04605
"129","Macedonia","LMIC","Central and Eastern Europe","MKD","Central and Eastern Europe","LMIC","Adjusted",50729747.1940458,57139566.6063499,63806177.5821571,71064487.4589045,78562857.2678424,86296251.5842693,94245837.2163499,102379168.560252,604224093.470171
"130","Macedonia","LMIC","Central and Eastern Europe","MKD","Central and Eastern Europe","LMIC","Baseline",45268821.9690783,45860987.1975252,46436067.7325235,47188125.2455742,47861793.8290988,48475299.3990987,49043906.3985203,49580696.1503882,379715697.921807
"131","Madagascar","LIC","Sub-Saharan Africa","MDG","Sub-Saharan Africa","LIC","Adjusted",12129286.028414,15949653.6199715,20045521.4520175,24454832.0224108,29175575.7934414,34219002.2820956,39594206.2665093,45310380.0054133,220878457.470273
"132","Madagascar","LIC","Sub-Saharan Africa","MDG","Sub-Saharan Africa","LIC","Baseline",8900086.08299895,9226075.0450745,9564261.26857639,9922166.22101551,10291880.0629479,10672482.5938064,11062759.9101319,11462107.0641105,81101818.2486619
"133","Malawi","LIC","Sub-Saharan Africa","MWI","Sub-Saharan Africa","LIC","Adjusted",550.771320054274,693.522166646569,848.753721278852,1016.31752250493,1199.03249748669,1397.4819760195,1611.40737857744,1840.80173631768,9158.08831888593
"134","Malawi","LIC","Sub-Saharan Africa","MWI","Sub-Saharan Africa","LIC","Baseline",436.027295042967,453.851637314696,473.294590897537,493.644585399467,515.827422215979,539.520672505409,564.229127584033,589.708677791584,4066.10400875167
"135","Malaysia","UMIC","East and South East Asia","MYS","East and South East Asia","UMIC","Adjusted",1162721661.46491,1291772672.46265,1428342080.46717,1574572508.77665,1728428339.86051,1890340044.77857,2060310193.23557,2238299812.49863,13374787313.5447
"136","Malaysia","UMIC","East and South East Asia","MYS","East and South East Asia","UMIC","Baseline",1074855780.53012,1109179274.96356,1144085663.21888,1180925533.81992,1217822470.99785,1254974516.06441,1292624636.29992,1330927568.15623,9605395444.05089
"137","Maldives","UMIC","East and South East Asia","MDV","East and South East Asia","UMIC","Adjusted",1465.60949772758,1661.29679060204,1879.76446412068,2109.37792578534,2361.23815682101,2633.12752400031,2918.30888456498,3209.75284750229,18238.4760911242
"138","Maldives","UMIC","East and South East Asia","MDV","East and South East Asia","UMIC","Baseline",1360.92310503275,1438.77458448676,1525.33601608998,1610.15458276923,1701.54268659655,1796.94300805244,1891.38732777969,1980.65781675983,13305.7191275672
"139","Mali","LIC","Sub-Saharan Africa","MLI","Sub-Saharan Africa","LIC","Adjusted",16156488.6752077,21036513.7691257,26204836.9101651,31835407.3631202,37826711.871051,44181939.0672462,50901060.9439904,57985520.7394895,286128479.339396
"140","Mali","LIC","Sub-Saharan Africa","MLI","Sub-Saharan Africa","LIC","Baseline",11966219.3206168,12326371.3674197,12691598.5416228,13120749.7642282,13556804.1407789,14000860.3762661,14454715.4271806,14921461.6761735,107038780.614286
"141","Mauritania","LMIC","Sub-Saharan Africa","MRT","Sub-Saharan Africa","LMIC","Adjusted",21403683.3864943,25256464.6009009,29361547.2547301,33772642.6308813,38463645.2850818,43448739.868421,48740743.5168373,54352332.9899883,294799799.533335
"142","Mauritania","LMIC","Sub-Saharan Africa","MRT","Sub-Saharan Africa","LMIC","Baseline",18417138.6694574,19037834.0919321,19677448.2931423,20357587.7258069,21051502.039521,21761732.1122308,22490275.0865464,23239444.3165598,166032962.335197
"143","Mauritius","UMIC","Sub-Saharan Africa","MUS","Sub-Saharan Africa","UMIC","Adjusted",253495872.417288,277985752.697864,303282689.711595,329137809.778056,355489659.438943,382238313.035166,409127846.344731,435905049.533162,2746662992.95681
"144","Mauritius","UMIC","Sub-Saharan Africa","MUS","Sub-Saharan Africa","UMIC","Baseline",234738770.100775,239232692.555872,243536579.689407,247459990.970985,251020197.860451,254210772.976723,257020640.852619,259441725.045881,1986661370.05271
"145","Mexico","UMIC","Latin America and Caribbean","MEX","Latin America and Caribbean","UMIC","Adjusted",13547764777.4608,14990124895.1776,16504136012.3471,18080599205.4952,19725560606.4902,21440262543.1248,23222007636.4379,25066197753.1374,152576653429.671
"146","Mexico","UMIC","Latin America and Caribbean","MEX","Latin America and Caribbean","UMIC","Baseline",12530961960.5333,12847034675.144,13167830188.5659,13482964005.2825,13797645987.2768,14112395141.2108,14427451705.3865,14743318013.6826,109109601677.083
"147","Mongolia","LMIC","Central Asia, Middle East and North Africa","MNG","Central Asia, Middle East and North Africa","LMIC","Adjusted",2967.0717903727,3353.77016097057,3769.52010565297,4213.39786383455,4686.52468077418,5186.06169903652,5704.02296066975,6233.22237733336,36113.5916386446
"148","Mongolia","LMIC","Central Asia, Middle East and North Africa","MNG","Central Asia, Middle East and North Africa","LMIC","Baseline",2692.34292089374,2775.77862838796,2867.11775730729,2963.69335497254,3065.35883749914,3169.45432080271,3270.98245518239,3366.50664883808,24171.2349238838
"149","Montenegro","UMIC","Central and Eastern Europe","MNE","Central and Eastern Europe","UMIC","Adjusted",27816695.2275194,30351297.5745494,32963046.1614926,35853973.5692121,38811439.7813045,41836775.106416,44929288.8803417,48046670.1926975,300609186.493533
"150","Montenegro","UMIC","Central and Eastern Europe","MNE","Central and Eastern Europe","UMIC","Baseline",25660233.0821226,25914210.0335336,26150594.0326242,26514626.1146694,26835740.8407465,27124067.9166695,27390257.3170826,27640065.6335113,213229794.97096
"151","Morocco","LMIC","Central Asia, Middle East and North Africa","MAR","Central Asia, Middle East and North Africa","LMIC","Adjusted",31966.857935201,36161.5363753955,40553.7279630311,45080.9142967053,49789.5938596881,54684.1784315616,59768.1277879813,65047.4349321358,383052.3715817
"152","Morocco","LMIC","Central Asia, Middle East and North Africa","MAR","Central Asia, Middle East and North Africa","LMIC","Baseline",28832.8522552794,29616.9466103714,30413.165274219,31169.811784786,31928.9987832526,32694.800709934,33470.0256750961,34258.0719855772,252384.673078516
