"NCD_region","byear","no","yes","MinInts","MedInt"
"Latin America and Caribbean",2015,9,13,1,9.5
"Central and Eastern Europe",2015,6,4,1,16
"Central Asia, Middle East and North Africa",2015,8,13,1,7
"Sub-Saharan Africa",2015,29,18,1,15
"South Asia",2015,3,3,1,12
"East and South East Asia",2015,7,6,1,16
"Oceania",2015,2,2,1,8.5
"All low- and middle-income countries",2015,64,59,1,15
