"","Region","Baseline","Adjusted","Increment"
"1","Central and Eastern Europe",43.6367549007503,60.9919928881948,17.3552379874445
"2","Central Asia, Middle East and North Africa",16.4638871284841,25.5894321687079,9.12554504022388
"3","East and South East Asia",184.354906619062,263.066172306893,78.7112656878311
"4","Latin America and Caribbean",190.252129524086,265.505742270512,75.2536127464258
"5","Oceania",1.5031006077054,2.40568093461165,0.902580326906248
"6","South Asia",44.7205499809326,76.2867237121781,31.5661737312455
"7","Sub-Saharan Africa",16.7982900522724,31.4611152674576,14.6628252151852
