"NCD_region","byear","no","yes","MinInts","MedInt"
"Latin America and Caribbean",2015,6,16,1,6
"Central and Eastern Europe",2015,5,5,1,11.5
"Central Asia, Middle East and North Africa",2015,1,20,1,5
"Sub-Saharan Africa",2015,6,41,1,6
"South Asia",2015,1,5,3,6
"East and South East Asia",2015,3,10,1,6
"Oceania",2015,0,4,1,4.5
"All low- and middle-income countries",2015,22,101,1,6
