"NCD_region","byear","no","yes","MinInts","MedInt"
"Latin America and Caribbean",2015,18,4,1,2
"Central and Eastern Europe",2015,9,1,1,2
"Central Asia, Middle East and North Africa",2015,15,6,1,2
"Sub-Saharan Africa",2015,34,13,1,2
"South Asia",2015,5,1,1,2
"East and South East Asia",2015,10,3,1,2
"Oceania",2015,2,2,1,1.5
"All low- and middle-income countries",2015,93,30,1,2
